age,biomass
50,NA
51,NA
52,NA
53,NA
54,NA
55,4013
56,NA
57,NA
58,NA
59,NA
60,4760
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
