datetime,variable,observation,site_id
2015-09-08,wood,44.2027039003462,OSBS
2015-09-08,som,NA,OSBS
2016-09-15,wood,48.66385769860334,OSBS
2016-09-15,som,NA,OSBS
2018-01-17,wood,47.69366852621236,OSBS
2018-01-17,som,NA,OSBS
2020-01-16,wood,42.700046350061086,OSBS
2020-01-16,som,NA,OSBS
2021-02-22,wood,42.51155771187891,OSBS
2021-02-22,som,NA,OSBS
2021-12-02,wood,39.47465775597082,OSBS
2021-12-02,som,NA,OSBS
2022-11-08,wood,40.877543653499245,OSBS
2022-11-08,som,NA,OSBS
2017-12-27,wood,NA,OSBS
2017-12-27,som,NA,OSBS
2019-01-14,wood,NA,OSBS
2019-01-14,som,NA,OSBS
2016-01-01,wood,NA,OSBS
2016-01-01,som,NA,OSBS
2021-01-01,wood,NA,OSBS
2021-01-01,som,NA,OSBS
2012-01-01,wood,NA,OSBS
2012-01-01,som,49.080858087231064,OSBS
2012-01-01,lai,1,OSBS
2012-01-09,lai,1.1,OSBS
2012-01-17,lai,0.9,OSBS
2012-01-25,lai,1,OSBS
2012-02-02,lai,1.2000000000000002,OSBS
2012-02-10,lai,1.3,OSBS
2012-02-18,lai,1.2000000000000002,OSBS
2012-02-26,lai,1.3,OSBS
2012-03-13,lai,1.3,OSBS
2012-03-21,lai,1.8,OSBS
2012-04-06,lai,2.1,OSBS
2012-05-16,lai,1.9000000000000001,OSBS
2012-06-01,lai,2,OSBS
2012-06-09,lai,2,OSBS
2012-06-25,lai,1.9000000000000001,OSBS
2012-08-04,lai,1.8,OSBS
2012-08-20,lai,1.7000000000000002,OSBS
2012-08-28,lai,1.7000000000000002,OSBS
2012-09-05,lai,1.8,OSBS
2012-09-13,lai,1.6,OSBS
2012-09-21,lai,1.4000000000000001,OSBS
2012-10-07,lai,1.4000000000000001,OSBS
2012-10-31,lai,1.4000000000000001,OSBS
2012-11-16,lai,1.3,OSBS
2012-12-02,lai,0.9,OSBS
2012-12-10,lai,0.9,OSBS
2012-12-18,lai,1,OSBS
2012-12-26,lai,0.8,OSBS
2013-01-01,lai,0.7000000000000001,OSBS
2013-01-09,lai,0.9,OSBS
2013-01-17,lai,0.9,OSBS
2013-01-25,lai,1,OSBS
2013-02-02,lai,0.8,OSBS
2013-02-10,lai,1.1,OSBS
2013-02-18,lai,1,OSBS
2013-03-14,lai,0.9,OSBS
2013-04-15,lai,1.6,OSBS
2013-05-01,lai,1.4000000000000001,OSBS
2013-06-18,lai,1.7000000000000002,OSBS
2013-07-04,lai,1.5,OSBS
2013-08-13,lai,1.7000000000000002,OSBS
2013-09-30,lai,1.2000000000000002,OSBS
2013-10-16,lai,1.5,OSBS
2013-11-01,lai,0.9,OSBS
2013-11-09,lai,1.1,OSBS
2013-11-17,lai,1,OSBS
2013-12-03,lai,0.9,OSBS
2013-12-11,lai,1,OSBS
2013-12-19,lai,1,OSBS
2013-12-27,lai,0.9,OSBS
2014-01-01,lai,0.9,OSBS
2014-01-17,lai,1,OSBS
2014-02-02,lai,1.1,OSBS
2014-02-18,lai,1.2000000000000002,OSBS
2014-03-06,lai,1.2000000000000002,OSBS
2014-03-14,lai,1.2000000000000002,OSBS
2014-03-22,lai,1.2000000000000002,OSBS
2014-04-15,lai,1.3,OSBS
2014-04-23,lai,1.5,OSBS
2014-05-09,lai,2,OSBS
2014-05-25,lai,1.4000000000000001,OSBS
2014-06-02,lai,1.6,OSBS
2014-06-10,lai,1.9000000000000001,OSBS
2014-06-18,lai,2.1,OSBS
2014-07-12,lai,2,OSBS
2014-07-28,lai,1.9000000000000001,OSBS
2014-08-05,lai,2,OSBS
2014-08-13,lai,1.7000000000000002,OSBS
2014-08-21,lai,1.8,OSBS
2014-09-06,lai,1,OSBS
2014-10-08,lai,1.5,OSBS
2014-10-24,lai,1.4000000000000001,OSBS
2014-11-17,lai,1,OSBS
2014-12-19,lai,1.2000000000000002,OSBS
2014-12-27,lai,1,OSBS
2015-01-25,lai,1,OSBS
2015-02-02,lai,1.1,OSBS
2015-02-10,lai,1.4000000000000001,OSBS
2015-02-18,lai,1.2000000000000002,OSBS
2015-03-06,lai,1.2000000000000002,OSBS
2015-03-14,lai,1.6,OSBS
2015-03-30,lai,1.8,OSBS
2015-05-01,lai,1.8,OSBS
2015-05-17,lai,1.7000000000000002,OSBS
2015-05-25,lai,1.9000000000000001,OSBS
2015-06-10,lai,2.2,OSBS
2015-06-26,lai,2.1,OSBS
2015-07-04,lai,2.1,OSBS
2015-07-12,lai,1.5,OSBS
2015-07-20,lai,1.9000000000000001,OSBS
2015-07-28,lai,1.9000000000000001,OSBS
2015-08-05,lai,2,OSBS
2015-08-21,lai,1.7000000000000002,OSBS
2015-08-29,lai,2,OSBS
2015-10-08,lai,1.6,OSBS
2015-10-24,lai,1.2000000000000002,OSBS
2015-11-01,lai,1.4000000000000001,OSBS
2015-11-17,lai,1.3,OSBS
2016-01-17,lai,0.9,OSBS
2016-01-25,lai,1.1,OSBS
2016-02-10,lai,1.3,OSBS
2016-02-26,lai,1.2000000000000002,OSBS
2016-03-13,lai,1.6,OSBS
2016-03-21,lai,1.2000000000000002,OSBS
2016-03-29,lai,1.8,OSBS
2016-04-30,lai,1.8,OSBS
2016-05-08,lai,1.9000000000000001,OSBS
2016-05-16,lai,2.1,OSBS
2016-05-24,lai,1.8,OSBS
2016-06-01,lai,2,OSBS
2016-06-09,lai,2.1,OSBS
2016-06-25,lai,1.5,OSBS
2016-07-19,lai,2.5,OSBS
2016-11-24,lai,1.2000000000000002,OSBS
2016-12-10,lai,1.1,OSBS
2016-12-18,lai,1,OSBS
2016-12-26,lai,1.1,OSBS
2017-01-01,lai,0.9,OSBS
2017-01-09,lai,1.1,OSBS
2017-01-17,lai,1,OSBS
2017-01-25,lai,1,OSBS
2017-02-02,lai,1.4000000000000001,OSBS
2017-02-10,lai,1.4000000000000001,OSBS
2017-02-18,lai,1.4000000000000001,OSBS
2017-02-26,lai,1.4000000000000001,OSBS
2017-03-14,lai,1.4000000000000001,OSBS
2017-03-22,lai,1,OSBS
2017-03-30,lai,1.7000000000000002,OSBS
2017-04-07,lai,1.8,OSBS
2017-05-01,lai,1.8,OSBS
2017-05-09,lai,1.9000000000000001,OSBS
2017-05-17,lai,1.9000000000000001,OSBS
2017-05-25,lai,1.8,OSBS
2017-06-18,lai,1.6,OSBS
2017-07-20,lai,2.5,OSBS
2017-08-29,lai,1.9000000000000001,OSBS
2017-09-06,lai,1.8,OSBS
2017-09-14,lai,1.9000000000000001,OSBS
2017-11-09,lai,1.5,OSBS
2018-01-01,lai,0.9,OSBS
2018-01-09,lai,1,OSBS
2018-01-17,lai,1.1,OSBS
2018-01-25,lai,1,OSBS
2018-02-02,lai,1.4000000000000001,OSBS
2018-02-10,lai,1.2000000000000002,OSBS
2018-02-18,lai,1.2000000000000002,OSBS
2018-02-26,lai,1,OSBS
2018-03-14,lai,1,OSBS
2018-03-30,lai,1.5,OSBS
2018-04-07,lai,1.3,OSBS
2018-04-15,lai,1.5,OSBS
2018-06-18,lai,2,OSBS
2018-07-04,lai,1.5,OSBS
2018-07-28,lai,1.7000000000000002,OSBS
2018-08-13,lai,1.8,OSBS
2018-08-29,lai,1.8,OSBS
2018-09-30,lai,1.4000000000000001,OSBS
2018-11-17,lai,1.4000000000000001,OSBS
2018-12-19,lai,1,OSBS
2018-12-27,lai,1,OSBS
2019-01-01,lai,1,OSBS
2019-01-09,lai,0.8,OSBS
2019-01-17,lai,1,OSBS
2019-02-02,lai,1.2000000000000002,OSBS
2019-02-18,lai,1.6,OSBS
2019-03-14,lai,1.5,OSBS
2019-03-22,lai,1.7000000000000002,OSBS
2019-04-07,lai,1.4000000000000001,OSBS
2019-04-15,lai,1.6,OSBS
2019-04-23,lai,1.6,OSBS
2019-06-02,lai,1.6,OSBS
2019-06-26,lai,2,OSBS
2019-07-04,lai,1.6,OSBS
