g,u,sd_add,age50_biomass,.draw
720.6076615243614,0.12135808623754725,165.8961449836068,6022.638546097204,1
720.6076615243614,0.12135808623754725,165.8961449836068,6035.408321366125,2
720.6076615243614,0.12135808623754725,165.8961449836068,6018.919382631627,3
720.6076615243614,0.11381442097718082,165.8961449836068,6073.363170137403,4
720.6076615243614,0.12001767611971821,165.8961449836068,6146.701790146043,5
720.6076615243614,0.12001767611971821,165.8961449836068,5962.238587284472,6
720.6076615243614,0.12001767611971821,165.8961449836068,5897.941037783876,7
720.6076615243614,0.12001767611971821,165.8961449836068,5912.83064104523,8
720.6076615243614,0.12152850764448007,138.47261810930152,5930.067476567075,9
720.6076615243614,0.12152850764448007,138.47261810930152,5825.807799549844,10
720.6076615243614,0.12152850764448007,138.47261810930152,5582.0010981253345,11
697.3543019061609,0.12152850764448007,169.90307867832257,5927.342324719697,12
735.666775920908,0.12152850764448007,169.90307867832257,5930.526079500528,13
713.6846927787235,0.12152850764448007,169.90307867832257,5976.7214691318,14
713.6846927787235,0.12152850764448007,184.62640128522509,5983.600766251218,15
735.5716903966384,0.12152850764448007,184.62640128522509,6016.104304218238,16
712.7265134154238,0.12152850764448007,186.27785367373002,6048.788230909865,17
664.9771459053156,0.12152850764448007,186.27785367373002,6106.701267138383,18
664.9771459053156,0.11965452377549059,186.27785367373002,6037.3859042818385,19
664.9771459053156,0.11965452377549059,186.27785367373002,5879.931207899406,20
664.9771459053156,0.11965452377549059,217.0900620797713,5875.66366854756,21
664.9771459053156,0.11965452377549059,213.32112933123642,5588.363552925971,22
664.9771459053156,0.11965452377549059,173.72273525380558,5609.440287155865,23
664.9771459053156,0.11965452377549059,173.72273525380558,6013.688419979841,24
673.6193427275485,0.11965452377549059,173.72273525380558,5895.853330814939,25
673.6193427275485,0.11965452377549059,173.72273525380558,5363.697616546401,26
673.6193427275485,0.11965452377549059,173.72273525380558,5308.606351079676,27
673.6193427275485,0.11965452377549059,173.72273525380558,5331.842109362695,28
666.4699719134145,0.11965452377549059,173.72273525380558,5634.669055295213,29
686.9342431709539,0.11965452377549059,173.72273525380558,5904.149371896075,30
686.9342431709539,0.1073396499443036,173.72273525380558,5837.2872311932415,31
612.7072368748477,0.1073396499443036,173.72273525380558,5891.062165154711,32
612.7072368748477,0.1073396499443036,145.50149964861419,6223.507028643985,33
612.7072368748477,0.1073396499443036,145.50149964861419,6107.29968679864,34
612.7072368748477,0.1073396499443036,145.50149964861419,6342.950188915222,35
652.2370148968586,0.1073396499443036,145.50149964861419,6058.75884256759,36
621.5137740024678,0.1073396499443036,145.50149964861419,6150.769813724348,37
621.5137740024678,0.1073396499443036,132.85005537755634,6268.804038673556,38
621.5137740024678,0.09485167399580821,119.58304494409938,6118.259383052498,39
621.5137740024678,0.09485167399580821,119.58304494409938,6340.546164625561,40
621.5137740024678,0.09485167399580821,119.58304494409938,6256.070363654458,41
621.5137740024678,0.09485167399580821,123.35936169475706,6386.605903555513,42
573.1524822456779,0.09485167399580821,136.6573909880282,6134.264793082434,43
573.1524822456779,0.09485167399580821,136.6573909880282,6459.144214186251,44
573.1524822456779,0.09409443577123605,128.86283628718084,6165.235074881394,45
573.1524822456779,0.09409443577123605,128.86283628718084,5969.2936980725335,46
